loan_id,customer_id,borrower_name,age,employment_status,annual_income,credit_score,loan_type,loan_amount,interest_rate,loan_term_months,loan_status,disbursement_date,current_balance,monthly_payment
LN64648198,CUST486321,Ambrose Fern,68,Full-time,80722,813,Debt Consolidation,37093,12.49,60,Current,2024-05-04,8315,1208.01
LN66876225,CUST451662,Brigit Mitchely,60,Contract,100105,584,Auto,53709,8.29,12,Active,2024-01-21,23526,1137.02
LN23190567,CUST705716,Rona Goodlake,33,Part-time,138630,699,Personal,25299,11.15,36,Late (16-30 days),2023-11-23,66399,751.64
LN45189691,CUST955903,Creight Wile,33,Unemployed,113537,677,Business,21757,18.48,60,Current,2023-07-08,11013,667.37
LN48998489,CUST406440,Madelon Theaker,44,Self-employed,114748,832,Business,66657,4.94,48,Late (16-30 days),2023-06-21,29300,444.84
LN42546399,CUST573509,Constantine Burchall,34,Unemployed,131788,730,Debt Consolidation,30508,8.16,60,Active,2024-03-25,66971,1109.14
LN29561883,CUST983553,Lennie Quiddinton,27,Full-time,100331,825,Medical,61416,7.74,72,Late (16-30 days),2023-08-11,48789,1150.57
LN93233512,CUST714763,North Swainger,24,Self-employed,130379,624,Home Improvement,37135,11.6,72,Late (16-30 days),2023-03-23,5594,202.99
LN14272249,CUST309278,Ina Richt,23,Contract,89975,648,Home Improvement,6382,17.55,60,Current,2023-03-17,34735,870.69
LN69220527,CUST626035,Ruthie Windross,49,Full-time,63275,760,Business,36392,18.48,48,Active,2023-08-22,18210,321.65
LN70656693,CUST460399,Zenia Twells,69,Contract,52493,736,Personal,53541,7.77,12,Active,2024-06-22,9270,976.74
LN14860355,CUST749045,Lucienne Driscoll,51,Part-time,115916,586,Personal,73149,5.27,36,Default,2023-04-08,39385,1310.86
LN38313032,CUST708857,Harriot Sommerscales,63,Self-employed,38155,629,Business,65137,7.92,12,Late (16-30 days),2023-12-15,31208,227.24
LN59355882,CUST203338,Hyacinth Panniers,38,Part-time,60190,841,Debt Consolidation,67957,14.19,24,Default,2023-04-03,62699,895.52
